Sample	posterior	ESS(posterior)	likelihood	prior	
0	-4302.7000588556575	2.7	-4297.028967833815	-5.671091021842267	
1	-4302.7000588556575	2.7	-4297.028967833815	-5.671091021842267	
2	-4299.001966282848	3.1	-4292.921278196078	-6.080688086770783	
3	-4298.1187407884545	3.2	-4292.67046129464	-5.4482794938151144	
4	-4298.1187407884545	3.2	-4292.67046129464	-5.4482794938151144	
5	-4297.698419322707	3.4	-4292.195280998168	-5.503138324539696	
6	-4297.469511592237	3.5	-4291.685133403451	-5.784378188786331	
7	-4296.704319347806	4.0	-4290.867820336413	-5.836499011392769	
8	-4294.653136730607	4.2	-4289.122624717966	-5.530512012640949	
9	-4294.653136730607	4.2	-4289.122624717966	-5.530512012640949	
10	-4298.242234026013	4.4	-4289.026176501765	-9.216057524248054	
