"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-5137.93847881182,4.97365733430576,0.0000100103864841238,8.19964365123496
"2","GTR","relaxed_log_normal","yule",-5142.34286014922,4.95805466224122,0.000000122363624929771,8.23238115417964
"3","GTR","strict","birth_death",-5143.15162266013,5.03977902290755,0.000000054501849291971,7.99179325464219
"4","GTR","strict","yule",-5147.90396076885,6.06471358813029,0.00000000047043217962945,7.42685943712408
"5","HKY","relaxed_log_normal","birth_death",-5138.88898867186,3.65663748408452,0.00000386945373117821,12.083041178691
"6","HKY","relaxed_log_normal","yule",-5139.95417457108,4.74531806298313,0.00000133366053437869,7.32809565963073
"7","HKY","strict","birth_death",-5134.16719911046,4.19631701884917,0.000434807282307646,4.89463235557133
"8","HKY","strict","yule",-5129.63190849829,2.93647851398291,0.0405460447988092,8.6630253110888
"9","JC69","relaxed_log_normal","birth_death",-5129.63609445143,2.84312163272107,0.0403766756880034,4.95813340718557
"10","JC69","relaxed_log_normal","yule",-5130.58671174544,2.74202295935349,0.0156056806123047,6.79913715702465
"11","JC69","strict","birth_death",-5126.53629336091,2.73233797360159,0.896101219074316,3.68449274547617
"12","TN93","relaxed_log_normal","birth_death",-5146.3061168018,5.04374854668139,0.00000000232504755220449,11.005362888963
"13","TN93","relaxed_log_normal","yule",-5137.43639308252,4.648591865148,0.0000165387966279911,8.14015463565606
"14","TN93","strict","birth_death",-5132.18635424188,4.23759759210833,0.00315185917605032,6.46774414679253
"15","TN93","strict","yule",-5132.01211596541,3.20243318845177,0.00375178140987672,8.46290277479867
